run,iteration,state,level,k,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,WV,county,3,6176,55,125,23,794.37,10000,3,48,0.63,60,3,147,1,5,17,23,23.0,2.52,3600,2,4266,True,619270.0,614650.0,4620.0
run1,2,WV,county,3,4620.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,24,24.0,4.46,3600,2,9199,True,619270.0,614744.0,4526.0
run1,3,WV,county,3,4526.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,24,24.0,17.90,3600,2,48807,True,619270.0,615018.0,4252.0
run1,4,WV,county,3,4252.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,24,24.0,6.73,3600,2,27604,True,619270.0,615422.0,3848.0
run1,5,WV,county,3,3848.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,25,25.0,4.81,3600,2,13192,True,619270.0,615450.0,3820.0
run1,6,WV,county,3,3820.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,25,25.0,6.62,3600,2,24676,True,619270.0,616855.0,2415.0
run1,7,WV,county,3,2415.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,27,27.0,82.88,3600,2,143541,True,618235.0,617208.0,1027.0
run1,8,WV,county,3,1027.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,28,28.0,286.94,3600,2,575908,True,618213.0,617208.0,1005.0
run1,9,WV,county,3,1005.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,29,29.0,245.97,3600,2,1214548,True,617942.0,617385.0,557.0
run1,10,WV,county,3,557.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,30,30.0,362.67,3600,2,810619,True,617971.0,617489.0,482.0
run1,11,WV,county,3,482.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,30,30.0,483.91,3600,2,902706,True,617814.0,617385.0,429.0
run1,12,WV,county,3,429.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,30,30.0,866.13,3600,2,2703747,True,617860.0,617478.0,382.0
run1,13,WV,county,3,382.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,31,31.0,430.20,3600,2,1463221,True,617784.0,617484.0,300.0
run1,14,WV,county,3,300.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,32,32.0,1180.92,3600,2,5164572,True,617695.0,617635.0,60.0
run1,15,WV,county,3,60.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,33,33.0,3387.27,3600,2,9155942,True,617695.0,617645.0,50.0
run1,15,WV,county,3,50.0,55,125,23,794.37,10000,3,48,0.63,60,0,0,0,0,17,no_solution_found,29.0,3600.07,3600,9,9365907,n/a,617695.0,617645.0,50.0
